Date&Time;app1_conc [mg/l];app1_h [m];app1_t_water [C];Anomalietyp
19.10.2023 14:30;0;0,091;18,1;K
19.10.2023 14:30;0;0,091;18,1;K
19.10.2023 14:31;0;0,092;18,1;K
19.10.2023 14:31;0;0,092;18,1;K
19.10.2023 14:32;0;0,092;18,1;K
19.10.2023 14:32;0;0,093;18,1;K
19.10.2023 14:33;0;0,093;18,1;K
19.10.2023 14:33;0;0,094;18,1;K
19.10.2023 14:34;0;0,094;18,1;K
19.10.2023 14:34;0;0,095;18,1;K
19.10.2023 14:35;0;0,096;18,1;K
19.10.2023 14:35;0;0,096;18,1;K
19.10.2023 14:36;0;0,097;18,1;K
19.10.2023 14:36;0;0,097;18,1;K
19.10.2023 14:37;0;0,098;18,1;K
19.10.2023 14:37;0;0,098;18,1;K
19.10.2023 14:38;0;0,099;18,1;K
19.10.2023 14:38;0;0,1;18,1;K
19.10.2023 14:39;0;0,1;18,1;K
19.10.2023 14:39;0;0,101;18,1;K
19.10.2023 14:40;0;0,102;18,1;K
19.10.2023 14:40;0;0,102;18,1;K
19.10.2023 14:41;0;0,103;18,1;K
19.10.2023 14:41;0;0,104;18,1;K
19.10.2023 14:42;0;0,105;18,1;K
19.10.2023 14:42;0;0,105;18,1;K
19.10.2023 14:43;0;0,106;18,1;K
19.10.2023 14:43;0;0,107;18,1;K
19.10.2023 14:44;0;0,11;18,1;K
19.10.2023 14:44;0;0,114;18,1;K
19.10.2023 14:45;0;0,118;18,1;K
19.10.2023 14:45;0;0,121;18,1;K
19.10.2023 14:46;0;0,124;18,1;K
19.10.2023 14:46;0;0,126;18,2;K
19.10.2023 14:47;0;0,127;18,2;K
19.10.2023 14:47;0;0,128;18,2;K
19.10.2023 14:48;0;0,129;18,1;K
19.10.2023 14:48;0;0,129;18,1;K
19.10.2023 14:49;0;0,13;18;K
19.10.2023 14:49;0;0,13;17,9;K
19.10.2023 14:50;0;0,131;17,9;K
19.10.2023 14:50;0;0,131;17,8;K
19.10.2023 14:51;0;0,134;17,8;K
19.10.2023 14:51;0;0,139;17,8;K
19.10.2023 14:52;0;0,144;17,8;K
19.10.2023 14:52;0;0,148;17,8;K
19.10.2023 14:53;0;0,152;17,9;K
19.10.2023 14:53;266,4;0,155;17,9;
19.10.2023 14:54;1114,6;0,157;17,9;
19.10.2023 14:54;1584;0,16;17,9;
19.10.2023 14:55;1532,7;0,165;17,9;
19.10.2023 14:55;1454,5;0,169;17,9;
19.10.2023 14:56;1516;0,172;17,8;
19.10.2023 14:56;1506,1;0,174;17,8;
19.10.2023 14:57;1543,8;0,177;17,8;
19.10.2023 14:57;1759,2;0,18;17,8;
19.10.2023 14:58;1962,2;0,186;17,8;
19.10.2023 14:58;2100,1;0,19;17,8;
19.10.2023 14:59;2052,1;0,193;17,7;
19.10.2023 14:59;861,6;0,195;17,7;F
19.10.2023 15:00;1593,2;0,197;17,7;
19.10.2023 15:00;1942,1;0,201;17,7;
